TYPE,COUNT,MONTH,YEAR,DATE
Assault,106,December,2013,12/31/2013 12:00:00 AM
Burglary,282,December,2013,12/31/2013 12:00:00 AM
Motor Vehicle Theft,86,December,2013,12/31/2013 12:00:00 AM
Homicide,3,January,2014,01/31/2014 12:00:00 AM
Rape,12,January,2014,01/31/2014 12:00:00 AM
Robbery,112,January,2014,01/31/2014 12:00:00 AM
Assault,100,January,2014,01/31/2014 12:00:00 AM
Burglary,218,January,2014,01/31/2014 12:00:00 AM
Motor Vehicle Theft,91,January,2014,01/31/2014 12:00:00 AM
Homicide,3,February,2014,02/28/2014 12:00:00 AM
Rape,6,February,2014,02/28/2014 12:00:00 AM
Robbery,57,February,2014,02/28/2014 12:00:00 AM
Assault,103,February,2014,02/28/2014 12:00:00 AM
Burglary,164,February,2014,02/28/2014 12:00:00 AM
Motor Vehicle Theft,77,February,2014,02/28/2014 12:00:00 AM
Homicide,3,March,2014,03/31/2014 12:00:00 AM
Rape,16,March,2014,03/31/2014 12:00:00 AM
Robbery,65,March,2014,03/31/2014 12:00:00 AM
Assault,105,March,2014,03/31/2014 12:00:00 AM
Burglary,211,March,2014,03/31/2014 12:00:00 AM
Motor Vehicle Theft,71,March,2014,03/31/2014 12:00:00 AM
Homicide,1,April,2014,04/30/2014 12:00:00 AM
Rape,15,April,2014,04/30/2014 12:00:00 AM
Robbery,119,April,2014,04/30/2014 12:00:00 AM
Assault,137,April,2014,04/30/2014 12:00:00 AM
Burglary,234,April,2014,04/30/2014 12:00:00 AM
Motor Vehicle Theft,93,April,2014,04/30/2014 12:00:00 AM
Homicide,6,May,2014,05/31/2014 12:00:00 AM
Rape,11,May,2014,05/31/2014 12:00:00 AM
Robbery,130,May,2014,05/31/2014 12:00:00 AM
Assault,173,May,2014,05/31/2014 12:00:00 AM
Burglary,302,May,2014,05/31/2014 12:00:00 AM
Motor Vehicle Theft,90,May,2014,05/31/2014 12:00:00 AM
Homicide,5,June,2014,06/30/2014 12:00:00 AM
Rape,16,June,2014,06/30/2014 12:00:00 AM
Robbery,127,June,2014,06/30/2014 12:00:00 AM
Assault,159,June,2014,06/30/2014 12:00:00 AM
Burglary,309,June,2014,06/30/2014 12:00:00 AM
Motor Vehicle Theft,80,June,2014,06/30/2014 12:00:00 AM
Homicide,7,July,2014,07/31/2014 12:00:00 AM
Rape,22,July,2014,07/31/2014 12:00:00 AM
Robbery,135,July,2014,07/31/2014 12:00:00 AM
Assault,181,July,2014,07/31/2014 12:00:00 AM
Burglary,265,July,2014,07/31/2014 12:00:00 AM
Motor Vehicle Theft,62,July,2014,07/31/2014 12:00:00 AM
Homicide,6,August,2014,08/31/2014 12:00:00 AM
Rape,18,August,2014,08/31/2014 12:00:00 AM
Robbery,126,August,2014,08/31/2014 12:00:00 AM
Assault,153,August,2014,08/31/2014 12:00:00 AM
Burglary,284,August,2014,08/31/2014 12:00:00 AM
Motor Vehicle Theft,79,August,2014,08/31/2014 12:00:00 AM
Homicide,4,September,2014,09/30/2014 12:00:00 AM
Rape,11,September,2014,09/30/2014 12:00:00 AM
Robbery,92,September,2014,09/30/2014 12:00:00 AM
