report_year,agency_jurisdiction,population,violent_crimes,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1982,"Omaha, NE",324936,2450,753.99,6.16,53.86,465.32,228.66
1982,"Orlando, FL",139152,2662,1913.02,24.43,114.98,1192.22,581.38
1982,"Philadelphia, PA",1687556,17511,1037.65,19.67,49.72,339.9,628.36
1982,"Phoenix, AZ",814054,5431,667.15,11.67,52.94,307.47,295.07
1982,"Pittsburgh, PA",425814,5391,1266.05,11.98,55.42,296.61,902.04
1982,"Portland, OR",369796,6484,1753.4,9.74,106,877.51,760.15
1982,"Prince George's County, MD",564955,5053,894.41,11.86,61.24,346.58,474.73
1982,"Raleigh, NC",152882,886,579.53,13.08,40.55,315.28,210.62
1982,"Sacramento, CA",288446,2988,1035.9,14.91,66.22,419.84,534.94
1982,"Salt Lake City, UT",173630,1279,736.62,6.34,71.42,281.06,377.81
1982,"San Antonio, TX",849791,5905,694.88,22.36,47.07,367.15,258.3
1982,"San Diego, CA",919113,5835,634.85,7.83,46.57,238.6,341.85
1982,"San Francisco, CA",708278,11615,1639.89,15.67,83.87,530.44,1009.91
1982,"San Jose, CA",659903,3616,547.96,5.61,65.16,219.43,257.77
1982,"Seattle, WA",507643,5120,1008.58,6.11,85.69,469.42,447.36
1982,"St. Louis, MO",455362,10069,2211.21,49.63,69.4,1016.33,1075.85
1982,"Suffolk County, NY",1169000,2081,178.02,2.31,9.84,80.15,85.71
1982,"Tampa, FL",292551,5736,1960.68,20.17,140.49,1170.39,629.63
1982,"Tucson, AZ",349165,2925,837.71,8.88,67.59,500.62,260.62
1982,"Tulsa, OK",376599,2704,718.01,8.23,60.54,370.42,278.81
1982,"Virginia Beach, VA",268887,646,240.25,5.58,36.07,102.65,95.95
1982,"Washington, DC",631000,13397,2123.14,30.74,66.72,577.65,1448.02
1982,"Wichita, KS",285665,1695,593.35,10.85,68.96,276.55,236.99
1982,United States,,1322390,570.8,9.1,,,
1983,"Albuquerque, NM",355163,2954,831.73,6.76,58,511.03,255.94
1983,"Arlington, TX",178871,585,327.05,3.91,41.93,177.22,103.99
1983,"Atlanta, GA",448635,9326,2078.75,31.43,137.97,1117.61,791.73
1983,"Aurora, CO",172575,1706,988.56,6.95,37.66,750.98,192.96
1983,"Austin, TX",381091,1534,402.53,15.22,62.98,149.83,174.5
1983,"Baltimore County, MD",668705,6012,899.05,5.08,22.13,683.41,188.42
1983,"Baltimore, MD",805527,16132,2002.66,24.95,61.7,778,1138.01
1983,"Boston, MA",566551,11365,2006,15.89,64.78,740.45,1184.89
1983,"Buffalo, NY",360656,3297,914.17,11.92,82.35,428.94,390.95
1983,"Charlotte, NC",323704,4267,1318.18,13.59,79.7,884.45,340.43
1983,"Chicago, IL",3021203,39776,1316.56,24.13,74.34,441.21,776.88
1983,"Cincinnati, OH",382373,3339,873.23,7.06,80.55,419.22,366.4
1983,"Cleveland, OH",571827,7798,1363.7,25.88,125.21,492.98,719.62
1983,"Columbus, OH",561328,4197,747.69,13.18,57.72,247.98,428.8
1983,"Dallas, TX",998827,11478,1149.15,26.83,89.2,541.13,491.98
1983,"Denver, CO",533732,4379,820.45,14.61,80.56,364.79,360.48
1983,"Detroit, MI",1176968,25527,2168.88,49.28,128.64,553.2,1437.76
1983,"El Paso, TX",471749,4275,906.2,7,37.52,678.33,183.36
1983,"Fairfax County, VA",592933,794,133.91,2.19,11.47,58.86,61.39
1983,"Fort Worth, TX",424651,5104,1201.93,26.37,106.91,592.96,475.68
1983,"Fresno, CA",230418,1913,830.23,13.89,74.65,314.65,427.05
1983,"Honolulu, HI",808092,2136,264.33,5.57,30.81,74.13,153.82
1983,"Houston, TX",1728783,15919,920.82,32.45,68.2,226.11,594.06
1983,"Indianapolis, IN",463455,4139,893.07,12.08,81.13,406.94,392.92
